,SMILE,R_grp_SMILES,Name,Comments,R_grp_BigSMILES
0,CC(CCCCCC)CCCCCCCCc1sc(c2c3cc(C)sc3c(c4sc(CC(CCCCCC)CCCCCCCC)cc4)c5cc(c6c(CCCCCCCC)cc(c7oc(c8cc(CCCCCCCC)c(C)s8)nn7)s6)sc52)cc1,[R1]c1sc(c2c3cc(C)sc3c(c4sc([R1])cc4)c5cc(c6c([R2])cc(c7oc(c8cc([R2])c(C)s8)nn7)s6)sc52)cc1,PBDT-ODZ,,{[R1]c1sc(c2c3cc([$])sc3c(c4sc([R1])cc4)c5cc(c6c([R2])cc(c7oc(c8cc([R2])c([$])s8)nn7)s6)sc52)cc1}
1,[Si](CCC)(CCC)(CCC)c9sc(c%10c%11cc(C)sc%11c(c%12sc([Si](CCC)(CCC)(CCC))cc%12)c%13cc(c%14ccc(c%15c%16nn(CC(CCCCCC)CCCCCCCC)nc%16c(c%17ccc(C)s%17)c(F)c%15F)s%14)sc%13%10)cc9,[R3]c9sc(c%10c%11cc(C)sc%11c(c%12sc([R3])cc%12)c%13cc(c%14ccc(c%15c%16nn([R1])nc%16c(c%17ccc(C)s%17)c(F)c%15F)s%14)sc%13%10)cc9,J71,,{[R3]c9sc(c%10c%11cc([$])sc%11c(c%12sc([R3])cc%12)c%13cc(c%14ccc(c%15c%16nn([R1])nc%16c(c%17ccc([$])s%17)c(F)c%15F)s%14)sc%13%10)cc9}
2,CC(CC)CCCCc%18sc(c%19c%20cc(C)sc%20c(c%21sc(CC(CC)CCCC)cc%21)c%22cc(c%23ccc(c%24c%25nn(CC(CCCCCC)CCCCCCCC)nc%25c(c%26ccc(C)s%26)c(F)c%24F)s%23)sc%22%19)cc%18,[R4]c%18sc(c%19c%20cc(C)sc%20c(c%21sc([R4])cc%21)c%22cc(c%23ccc(c%24c%25nn([R1])nc%25c(c%26ccc(C)s%26)c(F)c%24F)s%23)sc%22%19)cc%18,J52,,{[R4]c%18sc(c%19c%20cc([$])sc%20c(c%21sc([R4])cc%21)c%22cc(c%23ccc(c%24c%25nn([R1])nc%25c(c%26ccc([$])s%26)c(F)c%24F)s%23)sc%22%19)cc%18}
3,CC(CC)CCCCc%27sc(c%28c%29cc(C)sc%29c(c%30sc(CC(CC)CCCC)c(F)c%30F)c%31cc(c%32ccc(c%33c%34nn(CC(CCCCCC)CCCCCCCC)nc%34c(c%35ccc(C)s%35)c(F)c%33F)s%32)sc%31%28)c(F)c%27F,[R4]c%27sc(c%28c%29cc(C)sc%29c(c%30sc([R4])c(F)c%30F)c%31cc(c%32ccc(c%33c%34nn([R1])nc%34c(c%35ccc(C)s%35)c(F)c%33F)s%32)sc%31%28)c(F)c%27F,J91,,{[R4]c%27sc(c%28c%29cc([$])sc%29c(c%30sc([R4])c(F)c%30F)c%31cc(c%32ccc(c%33c%34nn([R1])nc%34c(c%35ccc([$])s%35)c(F)c%33F)s%32)sc%31%28)c(F)c%27F}
4,[Si](CCC)(CCC)(CCC)c%36sc(c%37c%38cc(C)oc%38c(c%39sc([Si](CCC)(CCC)(CCC))cc%39)c%40cc(c%41ccc(c%42c%43nn(CC(CCCCCC)CCCCCCCC)nc%43c(c%44ccc(C)s%44)c(F)c%42F)s%41)oc%40%37)cc%36,[R3]c%36sc(c%37c%38cc(C)oc%38c(c%39sc([R3])cc%39)c%40cc(c%41ccc(c%42c%43nn([R1])nc%43c(c%44ccc(C)s%44)c(F)c%42F)s%41)oc%40%37)cc%36,J81,,{[R3]c%36sc(c%37c%38cc([$])oc%38c(c%39sc([R3])cc%39)c%40cc(c%41ccc(c%42c%43nn([R1])nc%43c(c%44ccc([$])s%44)c(F)c%42F)s%41)oc%40%37)cc%36}
5,Cc%45sc%46c(c%47sc(SSCCCCCCCCCCCC)cc%47)c%48cc(c%49ccc(c%50c%51nn(CC(CCCCCC)CCCCCCCC)nc%51c(c%52ccc(C)s%52)c(F)c%50F)s%49)sc%48c(c%53sc(SSCCCCCCCCCCCC)cc%53)c%46c%45,Cc%45sc%46c(c%47sc(S[R5])cc%47)c%48cc(c%49ccc(c%50c%51nn([R1])nc%51c(c%52ccc(C)s%52)c(F)c%50F)s%49)sc%48c(c%53sc(S[R5])cc%53)c%46c%45,J61,,{([$])c%45sc%46c(c%47sc(S[R5])cc%47)c%48cc(c%49ccc(c%50c%51nn([R1])nc%51c(c%52ccc([$])s%52)c(F)c%50F)s%49)sc%48c(c%53sc(S[R5])cc%53)c%46c%45}
6,Cc%54sc%55c(c%56sc(SCC(CC)CCCC)cc%56)c%57cc(c%58ccc(c%59c%60nn(CC(CCCCCC)CCCCCCCC)nc%60c(c%61ccc(C)s%61)c(F)c%59F)s%58)sc%57c(c%62sc(SCC(CC)CCCC)cc%62)c%55c%54,Cc%54sc%55c(c%56sc(S[R4])cc%56)c%57cc(c%58ccc(c%59c%60nn([R1])nc%60c(c%61ccc(C)s%61)c(F)c%59F)s%58)sc%57c(c%62sc(S[R4])cc%62)c%55c%54,J60,,{([$])c%54sc%55c(c%56sc(S[R4])cc%56)c%57cc(c%58ccc(c%59c%60nn([R1])nc%60c(c%61ccc([$])s%61)c(F)c%59F)s%58)sc%57c(c%62sc(S[R4])cc%62)c%55c%54}
7,Cc%63sc%64c(OCC(CCCCCCCC)CCCCCCCCCC)c%65cc(c%66ccc(c%67c%68nn(CC(CC)CCCC)nc%68c(c%69ccc(C)s%69)c(F)c%67F)s%66)sc%65c(OCC(CCCCCCCC)CCCCCCCCCC)c%64c%63,Cc%63sc%64c(O[R6])c%65cc(c%66ccc(c%67c%68nn([R4])nc%68c(c%69ccc(C)s%69)c(F)c%67F)s%66)sc%65c(O[R6])c%64c%63,J40,,{([$])c%63sc%64c(O[R6])c%65cc(c%66ccc(c%67c%68nn([R4])nc%68c(c%69ccc([$])s%69)c(F)c%67F)s%66)sc%65c(O[R6])c%64c%63}
8,CC(CCCCCC)CCCCCCCCc%70sc(c%71c%72cc(C)sc%72c(c%73sc(CC(CCCCCC)CCCCCCCC)cc%73)c%74cc(c%75ccc(c%76c%77nn(CCCCCCCC)nc%77c(c%78ccc(C)s%78)c(F)c%76F)s%75)sc%74%71)cc%70,[R1]c%70sc(c%71c%72cc(C)sc%72c(c%73sc([R1])cc%73)c%74cc(c%75ccc(c%76c%77nn([R2])nc%77c(c%78ccc(C)s%78)c(F)c%76F)s%75)sc%74%71)cc%70,J51,,{[R1]c%70sc(c%71c%72cc([$])sc%72c(c%73sc([R1])cc%73)c%74cc(c%75ccc(c%76c%77nn([R2])nc%77c(c%78ccc([$])s%78)c(F)c%76F)s%75)sc%74%71)cc%70}
9,CC(CCCCCC)CCCCCCCCc%79sc(c%80c%81cc(C)sc%81c(c%82sc(CC(CCCCCC)CCCCCCCC)cc%82)c%83cc(c%84ccc(c%85c%86nn(CCCCCCCC)nc%86c(c%87ccc(C)s%87)cc%85)s%84)sc%83%80)cc%79,[R1]c%79sc(c%80c%81cc(C)sc%81c(c%82sc([R1])cc%82)c%83cc(c%84ccc(c%85c%86nn([R2])nc%86c(c%87ccc(C)s%87)cc%85)s%84)sc%83%80)cc%79,J50,,{[R1]c%79sc(c%80c%81cc([$])sc%81c(c%82sc([R1])cc%82)c%83cc(c%84ccc(c%85c%86nn([R2])nc%86c(c%87ccc([$])s%87)cc%85)s%84)sc%83%80)cc%79}
