Model,Datatype,Parameter,Predict,R_mean,R_std,RMSE_mean,RMSE_std,num_of_data
RF,SMILES,"""none""",calc_PCE,0.626848452,0.060966533,2.42178687,0.106092389,555
RF,BigSMILES,"""none""",calc_PCE,0.632904537,0.059790101,2.408899118,0.108300243,555
RF,SELFIES,"""none""",calc_PCE,0.620070244,0.073907165,2.431748669,0.141474319,555
RF,AugSMILES,"""none""",calc_PCE,0.506652863,0.102629365,2.683709786,0.1515536,555
RF,BRICS,"""none""",calc_PCE,0.669265759,0.046897399,2.311113664,0.082958599,555
RF,Manual Fragments,"""none""",calc_PCE,0.65686929,0.084044872,2.319244947,0.198496678,555
RF,Augmented Manual Fragments,"""none""",calc_PCE,0.640637666,0.079157763,2.418526634,0.221744224,555
RF,"Fingerprints (r=3, bits=512)","""none""",calc_PCE,0.717675101,0.054441967,2.147094213,0.173629827,555
RF,SMILES,"""none""",FF,0.438899276,0.111639394,9.216074158,1.3253891,555
RF,BigSMILES,"""none""",FF,0.431298195,0.110365593,9.241755113,1.297157398,555
RF,SELFIES,"""none""",FF,0.455664678,0.125343464,9.107901921,1.307736631,555
RF,AugSMILES,"""none""",FF,0.331769255,0.180305374,9.593707776,1.232249265,555
RF,BRICS,"""none""",FF,0.521574476,0.124080774,8.76747938,0.909030245,555
RF,Manual Fragments,"""none""",FF,0.562931437,0.105801935,8.370861494,1.147523331,555
RF,Augmented Manual Fragments,"""none""",FF,0.529216964,0.127607655,8.666381286,1.229410263,555
RF,"Fingerprints (r=3, bits=512)","""none""",FF,0.59810206,0.104738254,8.081204481,1.148584143,555
RF,SMILES,"""none""",VOC,0.443516954,0.040416238,0.161631528,0.008508802,555
RF,BigSMILES,"""none""",VOC,0.449154076,0.058639314,0.160917126,0.00686059,555
RF,SELFIES,"""none""",VOC,0.494408114,0.019215864,0.15707955,0.011078822,555
RF,AugSMILES,"""none""",VOC,0.243303522,0.088952396,0.105042243,0.00748111,555
RF,BRICS,"""none""",VOC,0.6031272,0.070397173,0.144132906,0.010979746,555
RF,Manual Fragments,"""none""",VOC,0.568018881,0.068305564,0.150165445,0.009514727,555
RF,Augmented Manual Fragments,"""none""",VOC,0.49748671,0.071284815,0.163245201,0.011993978,555
RF,"Fingerprints (r=3, bits=512)","""none""",VOC,0.665051143,0.068045127,0.134929319,0.018085032,555
RF,SMILES,"""none""",JSC,0.670471048,0.121993652,3.476526541,0.361240519,555
RF,BigSMILES,"""none""",JSC,0.678514881,0.103878976,3.460061592,0.302040001,555
RF,SELFIES,"""none""",JSC,0.669165409,0.108926624,3.47772495,0.326161794,555
RF,AugSMILES,"""none""",JSC,0.51717442,0.101476158,4.03918365,0.366911496,555
RF,BRICS,"""none""",JSC,0.678409169,0.055900165,3.451824831,0.36954723,555
RF,Manual Fragments,"""none""",JSC,0.730490591,0.12182731,3.152669865,0.476043143,555
RF,Augmented Manual Fragments,"""none""",JSC,0.68983078,0.126869756,3.407176155,0.48481658,555
RF,"Fingerprints (r=3, bits=512)","""none""",JSC,0.790597692,0.06125101,2.858509539,0.388514181,555
RF,SMILES,"""electronic""",calc_PCE,,,,,
RF,BigSMILES,"""electronic""",calc_PCE,,,,,
RF,SELFIES,"""electronic""",calc_PCE,,,,,
RF,AugSMILES,"""electronic""",calc_PCE,,,,,
RF,BRICS,"""electronic""",calc_PCE,,,,,
RF,Manual Fragments,"""electronic""",calc_PCE,,,,,
RF,Augmented Manual Fragments,"""electronic""",calc_PCE,,,,,
RF,"Fingerprints (r=3, bits=512)","""electronic""",calc_PCE,,,,,
RF,SMILES,"""electronic""",FF,,,,,
RF,BigSMILES,"""electronic""",FF,,,,,
RF,SELFIES,"""electronic""",FF,,,,,
RF,AugSMILES,"""electronic""",FF,,,,,
RF,BRICS,"""electronic""",FF,,,,,
RF,Manual Fragments,"""electronic""",FF,,,,,
RF,Augmented Manual Fragments,"""electronic""",FF,,,,,
RF,"Fingerprints (r=3, bits=512)","""electronic""",FF,,,,,
RF,SMILES,"""electronic""",VOC,,,,,
RF,BigSMILES,"""electronic""",VOC,,,,,
RF,SELFIES,"""electronic""",VOC,,,,,
RF,AugSMILES,"""electronic""",VOC,,,,,
RF,BRICS,"""electronic""",VOC,,,,,
RF,Manual Fragments,"""electronic""",VOC,,,,,
RF,Augmented Manual Fragments,"""electronic""",VOC,,,,,
RF,"Fingerprints (r=3, bits=512)","""electronic""",VOC,,,,,
RF,SMILES,"""electronic""",JSC,,,,,
RF,BigSMILES,"""electronic""",JSC,,,,,
RF,SELFIES,"""electronic""",JSC,,,,,
RF,AugSMILES,"""electronic""",JSC,,,,,
RF,BRICS,"""electronic""",JSC,,,,,
RF,Manual Fragments,"""electronic""",JSC,,,,,
RF,Augmented Manual Fragments,"""electronic""",JSC,,,,,
RF,"Fingerprints (r=3, bits=512)","""electronic""",JSC,,,,,
BRT,SMILES,"""none""",calc_PCE,,,,,
BRT,BigSMILES,"""none""",calc_PCE,,,,,
BRT,SELFIES,"""none""",calc_PCE,,,,,
BRT,AugSMILES,"""none""",calc_PCE,,,,,
BRT,BRICS,"""none""",calc_PCE,,,,,
BRT,Manual Fragments,"""none""",calc_PCE,,,,,
BRT,Augmented Manual Fragments,"""none""",calc_PCE,,,,,
BRT,"Fingerprints (r=3, bits=512)","""none""",calc_PCE,,,,,
SVM,SMILES,"""none""",calc_PCE,,,,,
SVM,BigSMILES,"""none""",calc_PCE,,,,,
SVM,SELFIES,"""none""",calc_PCE,,,,,
SVM,AugSMILES,"""none""",calc_PCE,,,,,
SVM,BRICS,"""none""",calc_PCE,,,,,
SVM,Manual Fragments,"""none""",calc_PCE,,,,,
SVM,Augmented Manual Fragments,"""none""",calc_PCE,,,,,
SVM,"Fingerprints (r=3, bits=512)","""none""",calc_PCE,,,,,
NN,SMILES,"""none""",calc_PCE,,,,,
NN,BigSMILES,"""none""",calc_PCE,,,,,
NN,SELFIES,"""none""",calc_PCE,,,,,
NN,AugSMILES,"""none""",calc_PCE,,,,,
NN,BRICS,"""none""",calc_PCE,,,,,
NN,Manual Fragments,"""none""",calc_PCE,,,,,
NN,Augmented Manual Fragments,"""none""",calc_PCE,,,,,
NN,"Fingerprints (r=3, bits=512)","""none""",calc_PCE,,,,,
LSTM,SMILES,"""none""",calc_PCE,,,,,
LSTM,BigSMILES,"""none""",calc_PCE,,,,,
LSTM,SELFIES,"""none""",calc_PCE,,,,,
LSTM,AugSMILES,"""none""",calc_PCE,,,,,
LSTM,BRICS,"""none""",calc_PCE,,,,,
LSTM,Manual Fragments,"""none""",calc_PCE,,,,,
LSTM,Augmented Manual Fragments,"""none""",calc_PCE,,,,,
LSTM,"Fingerprints (r=3, bits=512)","""none""",calc_PCE,,,,,
RF,SMILES,"""electronic""",calc_PCE,,,,,
RF,BigSMILES,"""electronic""",calc_PCE,,,,,
RF,SELFIES,"""electronic""",calc_PCE,,,,,
RF,AugSMILES,"""electronic""",calc_PCE,,,,,
RF,BRICS,"""electronic""",calc_PCE,,,,,
RF,Manual Fragments,"""electronic""",calc_PCE,,,,,
RF,Augmented Manual Fragments,"""electronic""",calc_PCE,,,,,
RF,"Fingerprints (r=3, bits=512)","""electronic""",calc_PCE,,,,,
BRT,SMILES,"""electronic""",calc_PCE,,,,,
BRT,BigSMILES,"""electronic""",calc_PCE,,,,,
BRT,SELFIES,"""electronic""",calc_PCE,,,,,
BRT,AugSMILES,"""electronic""",calc_PCE,,,,,
BRT,BRICS,"""electronic""",calc_PCE,,,,,
BRT,Manual Fragments,"""electronic""",calc_PCE,,,,,
BRT,Augmented Manual Fragments,"""electronic""",calc_PCE,,,,,
BRT,"Fingerprints (r=3, bits=512)","""electronic""",calc_PCE,,,,,
SVM,SMILES,"""electronic""",calc_PCE,,,,,
SVM,BigSMILES,"""electronic""",calc_PCE,,,,,
SVM,SELFIES,"""electronic""",calc_PCE,,,,,
SVM,AugSMILES,"""electronic""",calc_PCE,,,,,
SVM,BRICS,"""electronic""",calc_PCE,,,,,
SVM,Manual Fragments,"""electronic""",calc_PCE,,,,,
SVM,Augmented Manual Fragments,"""electronic""",calc_PCE,,,,,
SVM,"Fingerprints (r=3, bits=512)","""electronic""",calc_PCE,,,,,
NN,SMILES,"""electronic""",calc_PCE,,,,,
NN,BigSMILES,"""electronic""",calc_PCE,,,,,
NN,SELFIES,"""electronic""",calc_PCE,,,,,
NN,AugSMILES,"""electronic""",calc_PCE,,,,,
NN,BRICS,"""electronic""",calc_PCE,,,,,
NN,Manual Fragments,"""electronic""",calc_PCE,,,,,
NN,Augmented Manual Fragments,"""electronic""",calc_PCE,,,,,
NN,"Fingerprints (r=3, bits=512)","""electronic""",calc_PCE,,,,,
LSTM,SMILES,"""electronic""",calc_PCE,,,,,
LSTM,BigSMILES,"""electronic""",calc_PCE,,,,,
LSTM,SELFIES,"""electronic""",calc_PCE,,,,,
LSTM,AugSMILES,"""electronic""",calc_PCE,,,,,
LSTM,BRICS,"""electronic""",calc_PCE,,,,,
LSTM,Manual Fragments,"""electronic""",calc_PCE,,,,,
LSTM,Augmented Manual Fragments,"""electronic""",calc_PCE,,,,,
LSTM,"Fingerprints (r=3, bits=512)","""electronic""",calc_PCE,,,,,
RF,N/A,"""electronic_only""",calc_PCE,0.571517696,0.057506183,2.554823539,0.12570158,456
BRT,N/A,"""electronic_only""",calc_PCE,,,,,
SVM,N/A,"""electronic_only""",calc_PCE,,,,,
NN,N/A,"""electronic_only""",calc_PCE,,,,,
LSTM,N/A,"""electronic_only""",calc_PCE,,,,,
RF,SMILES,"""device""",calc_PCE,,,,,
RF,BigSMILES,"""device""",calc_PCE,,,,,
RF,SELFIES,"""device""",calc_PCE,,,,,
RF,AugSMILES,"""device""",calc_PCE,,,,,
RF,BRICS,"""device""",calc_PCE,,,,,
RF,Manual Fragments,"""device""",calc_PCE,,,,,
RF,Augmented Manual Fragments,"""device""",calc_PCE,,,,,
RF,"Fingerprints (r=3, bits=512)","""device""",calc_PCE,,,,,
BRT,SMILES,"""device""",calc_PCE,,,,,
BRT,BigSMILES,"""device""",calc_PCE,,,,,
BRT,SELFIES,"""device""",calc_PCE,,,,,
BRT,AugSMILES,"""device""",calc_PCE,,,,,
BRT,BRICS,"""device""",calc_PCE,,,,,
BRT,Manual Fragments,"""device""",calc_PCE,,,,,
BRT,Augmented Manual Fragments,"""device""",calc_PCE,,,,,
BRT,"Fingerprints (r=3, bits=512)","""device""",calc_PCE,,,,,
SVM,SMILES,"""device""",calc_PCE,,,,,
SVM,BigSMILES,"""device""",calc_PCE,,,,,
SVM,SELFIES,"""device""",calc_PCE,,,,,
SVM,AugSMILES,"""device""",calc_PCE,,,,,
SVM,BRICS,"""device""",calc_PCE,,,,,
SVM,Manual Fragments,"""device""",calc_PCE,,,,,
SVM,Augmented Manual Fragments,"""device""",calc_PCE,,,,,
SVM,"Fingerprints (r=3, bits=512)","""device""",calc_PCE,,,,,
NN,SMILES,"""device""",calc_PCE,,,,,
NN,BigSMILES,"""device""",calc_PCE,,,,,
NN,SELFIES,"""device""",calc_PCE,,,,,
NN,AugSMILES,"""device""",calc_PCE,,,,,
NN,BRICS,"""device""",calc_PCE,,,,,
NN,Manual Fragments,"""device""",calc_PCE,,,,,
NN,Augmented Manual Fragments,"""device""",calc_PCE,,,,,
NN,"Fingerprints (r=3, bits=512)","""device""",calc_PCE,,,,,
LSTM,SMILES,"""device""",calc_PCE,,,,,
LSTM,BigSMILES,"""device""",calc_PCE,,,,,
LSTM,SELFIES,"""device""",calc_PCE,,,,,
LSTM,AugSMILES,"""device""",calc_PCE,,,,,
LSTM,BRICS,"""device""",calc_PCE,,,,,
LSTM,Manual Fragments,"""device""",calc_PCE,,,,,
LSTM,Augmented Manual Fragments,"""device""",calc_PCE,,,,,
LSTM,"Fingerprints (r=3, bits=512)","""device""",calc_PCE,,,,,
RF,SMILES,"""fabrication""",calc_PCE,,,,,
RF,BigSMILES,"""fabrication""",calc_PCE,,,,,
RF,SELFIES,"""fabrication""",calc_PCE,,,,,
RF,AugSMILES,"""fabrication""",calc_PCE,,,,,
RF,BRICS,"""fabrication""",calc_PCE,,,,,
RF,Manual Fragments,"""fabrication""",calc_PCE,,,,,
RF,Augmented Manual Fragments,"""fabrication""",calc_PCE,,,,,
RF,"Fingerprints (r=3, bits=512)","""fabrication""",calc_PCE,,,,,
BRT,SMILES,"""fabrication""",calc_PCE,,,,,
BRT,BigSMILES,"""fabrication""",calc_PCE,,,,,
BRT,SELFIES,"""fabrication""",calc_PCE,,,,,
BRT,AugSMILES,"""fabrication""",calc_PCE,,,,,
BRT,BRICS,"""fabrication""",calc_PCE,,,,,
BRT,Manual Fragments,"""fabrication""",calc_PCE,,,,,
BRT,Augmented Manual Fragments,"""fabrication""",calc_PCE,,,,,
BRT,"Fingerprints (r=3, bits=512)","""fabrication""",calc_PCE,,,,,
SVM,SMILES,"""fabrication""",calc_PCE,,,,,
SVM,BigSMILES,"""fabrication""",calc_PCE,,,,,
SVM,SELFIES,"""fabrication""",calc_PCE,,,,,
