Donor,Acceptor,HOMO_D_eV,LUMO_D_eV,Eg_D_eV,Ehl_D_eV,HOMO_A_eV,LUMO_A_eV,Ehl_A_eV,Eg_A_eV,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_pow_neg2,FF_percent,DA_SMILES,DA_SELFIES,DA_BigSMILES
PBDT-TT,6TIC,-5.23,-3.34,1.88,-1.8900000000000008,-5.263333333333333,-3.85,-1.4133333333333329,1.3666666666666665,9.46,9.460612,0.812,19.1,61.0,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.N#CC(C#N)=C1/C(=C/c2cc3sc4c(c3s2)C(c2ccc([Mo])cc2)(c2ccc([Mo])cc2)c2c-4sc3c4c(sc23)-c2sc3cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc3c2C4(c2ccc([Mo])cc2)c2ccc([Mo])cc2)C(=O)c2ccccc21,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][S][C][C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Branch2][=Branch1][#C][C][=C][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][Ring2][Ring2][N][S][C][Ring2][=Branch1][Branch1][=Ring2][Branch1][N].[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][=Branch2][P][=C][/C][=C][C][S][C][=C][Branch1][#Branch1][C][=Ring1][Branch1][S][Ring1][Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][S][C][C][=C][Branch1][#Branch1][S][C][Ring1][Branch2][=Ring1][Branch1][C][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][C][Ring2][Ring1][=N][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][=Branch1][P],{CCCCC(CC)COC(=O)c1c(-c2ccc([$])s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc([$])cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12}.N#CC(C#N)=C1/C(=C/c2cc3sc4c(c3s2)C(c2ccc([Mo])cc2)(c2ccc([Mo])cc2)c2c-4sc3c4c(sc23)-c2sc3cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc3c2C4(c2ccc([Mo])cc2)c2ccc([Mo])cc2)C(=O)c2ccccc21
PBDT-TT,IT-M,-5.23,-3.34,1.88,-1.8900000000000008,-5.513571428571429,-3.808,-1.705571428571429,1.604285714285714,9.99,9.99372,0.904,16.5,67.0,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.Cc1ccc2c(c1)C(=C(C#N)C#N)/C(=C/c1cc3sc4c(c3s1)C(c1ccc([Mo])cc1)(c1ccc([Mo])cc1)c1cc3c(cc1-4)C(c1ccc([Mo])cc1)(c1ccc([Mo])cc1)c1c-3sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc13)C2=O,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][S][C][C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Branch2][=Branch1][#C][C][=C][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][Ring2][Ring2][N][S][C][Ring2][=Branch1][Branch1][=Ring2][Branch1][N].[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][/C][=Branch2][#Branch2][C][=C][/C][=C][C][S][C][=C][Branch1][#Branch1][C][=Ring1][Branch1][S][Ring1][Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring1][=Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][S][C][C][=C][Branch2][Ring1][N][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][Ring1][O][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][=Branch2][=Ring2][Ring1][=Branch1][C][Ring2][=Branch1][P][=O],{CCCCC(CC)COC(=O)c1c(-c2ccc([$])s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc([$])cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12}.Cc1ccc2c(c1)C(=C(C#N)C#N)/C(=C/c1cc3sc4c(c3s1)C(c1ccc([Mo])cc1)(c1ccc([Mo])cc1)c1cc3c(cc1-4)C(c1ccc([Mo])cc1)(c1ccc([Mo])cc1)c1c-3sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc13)C2=O
J71,A201,-5.353333333333333,-3.4318181818181825,1.8642857142857143,-1.92151515151515,-5.69,-3.93,-1.7600000000000002,1.64,9.36,7.770598,0.88,13.15,67.15,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([V])s6)c6sc(C)cc6c(-c6ccc([V])s6)c5s4)s3)c3nn([Sc])nc23)s1.N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2cc4c(cc2C3(c2ccc([Mo])cc2)c2ccc([Mo])cc2)-c2sc3cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc3c2C4(c2ccc([Mo])cc2)c2ccc([Mo])cc2)C(=O)c2ccccc21,[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][V][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][V][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C].[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][=Branch2][=Branch1][=C][/C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][C][=C][Branch2][Ring1][S][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][C][Ring2][Ring2][N][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][=Branch1][N],{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([V])s6)c6sc([$])cc6c(-c6ccc([V])s6)c5s4)s3)c3nn([Sc])nc23)s1}.N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2cc4c(cc2C3(c2ccc([Mo])cc2)c2ccc([Mo])cc2)-c2sc3cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc3c2C4(c2ccc([Mo])cc2)c2ccc([Mo])cc2)C(=O)c2ccccc21
J52-F,BTA13,-5.29,-3.38,1.92,-1.91,-5.34,-3.62,-1.7199999999999998,1.72,8.36,8.3600286,1.18,11.55,61.34,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c([Cr])s6)c6sc(C)cc6c(-c6cc(F)c([Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1.CCn1c(=C(C#N)C#N)s/c(=C/c2ccc(-c3cc4sc5c(c4s3)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3cc4c(cc3-5)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn([Ti])nc56)sc34)c3nn([Ti])nc23)c1=O,[C][C][=C][C][=C][Branch2][#Branch1][O][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][P][C][=C][C][=C][Branch2][Branch1][=Branch1][C][=C][C][=C][Branch1][=C][C][=C][C][Branch1][C][F][=C][Branch1][C][Cr][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][=C][C][=C][C][Branch1][C][F][=C][Branch1][C][Cr][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][S][Ring2][Ring1][S][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][N][Ring1][=Branch1][S][Ring2][Ring2][P].[C][C][N][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][/C][=Branch2][N][Branch1][=C][/C][=C][C][=C][Branch2][#Branch2][S][C][=C][C][S][C][=C][Branch1][#Branch1][C][=Ring1][Branch1][S][Ring1][Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring1][=Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][S][C][C][=C][Branch2][Ring2][O][C][=C][C][=C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][C][=N][N][Branch1][C][Ti][N][=C][Ring2][Ring1][Branch2][Ring1][=Branch1][S][C][Ring2][Ring1][S][=Ring2][Ring1][=N][C][=N][N][Branch1][C][Ti][N][=C][Ring2][#Branch1][=Branch1][Ring1][=Branch1][C][Ring2][#Branch1][P][=O],{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c([Cr])s6)c6sc([$])cc6c(-c6cc(F)c([Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1}.CCn1c(=C(C#N)C#N)s/c(=C/c2ccc(-c3cc4sc5c(c4s3)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3cc4c(cc3-5)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn([Ti])nc56)sc34)c3nn([Ti])nc23)c1=O
J52-FS,BTA13,-5.32,-3.39,1.93,-1.93,-5.34,-3.62,-1.7199999999999998,1.72,3.84,3.84115296,1.24,6.74,45.96,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(S[Cr])s6)c6sc(C)cc6c(-c6cc(F)c(S[Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1.CCn1c(=C(C#N)C#N)s/c(=C/c2ccc(-c3cc4sc5c(c4s3)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3cc4c(cc3-5)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn([Ti])nc56)sc34)c3nn([Ti])nc23)c1=O,[C][C][=C][C][=C][Branch2][#Branch1][=N][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][=Branch1][Ring1][C][=C][C][=C][Branch2][Branch1][Branch2][C][=C][C][=C][Branch1][#C][C][=C][C][Branch1][C][F][=C][Branch1][Ring1][S][Cr][S][Ring1][Branch2][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][#C][C][=C][C][Branch1][C][F][=C][Branch1][Ring1][S][Cr][S][Ring1][Branch2][=C][Ring2][Ring1][#Branch2][S][Ring2][Ring1][=N][S][Ring2][Ring2][C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][=C][Ring1][=Branch1][S][Ring2][Branch1][Ring1].[C][C][N][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][/C][=Branch2][N][Branch1][=C][/C][=C][C][=C][Branch2][#Branch2][S][C][=C][C][S][C][=C][Branch1][#Branch1][C][=Ring1][Branch1][S][Ring1][Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring1][=Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][S][C][C][=C][Branch2][Ring2][O][C][=C][C][=C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][C][=N][N][Branch1][C][Ti][N][=C][Ring2][Ring1][Branch2][Ring1][=Branch1][S][C][Ring2][Ring1][S][=Ring2][Ring1][=N][C][=N][N][Branch1][C][Ti][N][=C][Ring2][#Branch1][=Branch1][Ring1][=Branch1][C][Ring2][#Branch1][P][=O],{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(S[Cr])s6)c6sc([$])cc6c(-c6cc(F)c(S[Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1}.CCn1c(=C(C#N)C#N)s/c(=C/c2ccc(-c3cc4sc5c(c4s3)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3cc4c(cc3-5)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn([Ti])nc56)sc34)c3nn([Ti])nc23)c1=O
J61,BT-IC,-5.303333333333334,-3.151666666666667,1.8914285714285712,-2.151666666666667,-5.3775,-3.8575,-1.5200000000000005,1.43,9.56,9.5446395,0.87,16.35,67.1,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Mn])s6)c6sc(C)cc6c(-c6ccc(S[Mn])s6)c5s4)s3)c3nn([Sc])nc23)s1.N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2sc4c(O[Cr])c5c6c(sc5c(O[Cr])c4c2C3(c2ccc([Mo])cc2)c2ccc([Mo])cc2)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc([Mo])cc2)c2ccc([Mo])cc2)C(=O)c2ccccc21,[C][C][=C][C][=C][Branch2][#Branch1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Mn][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Mn][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][S][Ring2][Ring1][S][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][N][Ring1][=Branch1][S][Ring2][Ring2][P].[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][#Branch2][Ring1][=C][/C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][S][C][=C][Branch1][Ring1][O][Cr][C][C][=C][Branch2][Ring2][N][S][C][=Ring1][Branch1][C][Branch1][Ring1][O][Cr][=C][Ring1][=N][C][=Ring1][S][C][Ring2][Ring1][Ring2][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][S][C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][Branch1][C][Ring2][Ring2][=C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][#Branch1][Ring1],{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Mn])s6)c6sc([$])cc6c(-c6ccc(S[Mn])s6)c5s4)s3)c3nn([Sc])nc23)s1}.N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2sc4c(O[Cr])c5c6c(sc5c(O[Cr])c4c2C3(c2ccc([Mo])cc2)c2ccc([Mo])cc2)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc([Mo])cc2)c2ccc([Mo])cc2)C(=O)c2ccccc21
J71,BT-IC,-5.353333333333333,-3.4318181818181825,1.8642857142857143,-1.92151515151515,-5.3775,-3.8575,-1.5200000000000005,1.43,10.46,10.495575,0.9,17.75,65.7,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([V])s6)c6sc(C)cc6c(-c6ccc([V])s6)c5s4)s3)c3nn([Sc])nc23)s1.N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2sc4c(O[Cr])c5c6c(sc5c(O[Cr])c4c2C3(c2ccc([Mo])cc2)c2ccc([Mo])cc2)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc([Mo])cc2)c2ccc([Mo])cc2)C(=O)c2ccccc21,[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][V][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][V][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C].[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][#Branch2][Ring1][=C][/C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][S][C][=C][Branch1][Ring1][O][Cr][C][C][=C][Branch2][Ring2][N][S][C][=Ring1][Branch1][C][Branch1][Ring1][O][Cr][=C][Ring1][=N][C][=Ring1][S][C][Ring2][Ring1][Ring2][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][S][C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][Branch1][C][Ring2][Ring2][=C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][#Branch1][Ring1],{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([V])s6)c6sc([$])cc6c(-c6ccc([V])s6)c5s4)s3)c3nn([Sc])nc23)s1}.N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2sc4c(O[Cr])c5c6c(sc5c(O[Cr])c4c2C3(c2ccc([Mo])cc2)c2ccc([Mo])cc2)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc([Mo])cc2)c2ccc([Mo])cc2)C(=O)c2ccccc21
J51,IDIC,-5.24,-3.056666666666666,1.91,-2.183333333333334,-5.705,-3.996875,-1.708125,1.6358333333333337,6.94,6.4304064,0.796,12.24,66.0,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Sc])s6)c6sc(C)cc6c(-c6ccc([Sc])s6)c5s4)s3)c3nn([Ti])nc23)s1.N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2cc4c(cc2C3([Mo])[Mo])-c2sc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)cc2C4([Mo])[Mo])C(=O)c2ccccc21,[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Sc][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Sc][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Ti][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C].[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][=Branch1][#Branch1][=C][/C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][C][=C][Branch1][N][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][Branch1][C][Mo][Mo][C][S][C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][Branch1][C][Ring2][Ring1][=N][Branch1][C][Mo][Mo][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring2][P],{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Sc])s6)c6sc([$])cc6c(-c6ccc([Sc])s6)c5s4)s3)c3nn([Ti])nc23)s1}.N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2cc4c(cc2C3([Mo])[Mo])-c2sc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)cc2C4([Mo])[Mo])C(=O)c2ccccc21
